Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",0,3.89,Anchor,Paperback,489,2006,2003,,2021/07/30,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
51475209,Small Pleasures,Clare Chambers,"Chambers, Clare",,"=""1474613888""","=""9781474613880""",0,3.88,Weidenfeld & Nicolson,Hardcover,352,2021,2021,,2021/07/28,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
42603984,Ace of Spades,Faridah Àbíké-Íyímídé,"Àbíké-Íyímídé, Faridah",,"=""1474967531""","=""9781474967532""",0,4.29,Usborne ,Paperback,470,2021,2021,,2021/07/28,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.15,Celadon Books,Hardcover,325,2019,2019,,2021/07/28,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.36,Atria Books,Hardcover,337,2014,2012,,2021/07/28,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
5060378,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307269981""","=""9780307269980""",4,4.24,Alfred A. Knopf,Hardcover,503,2009,2006,2021/07/28,2021/07/10,,,read,,,,1,,,0,,,,,
42833687,Things My Son Needs to Know About the World,Fredrik Backman,"Backman, Fredrik",Alice Menzies,"=""1501196863""","=""9781501196867""",0,3.98,Atria Books,Hardcover,208,2019,2012,,2021/07/10,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
36373463,"Us Against You (Beartown, #2)",Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""1501160796""","=""9781501160790""",0,4.35,Atria Books,Hardcover,448,2018,2017,,2021/07/10,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""""","=""""",0,4.27,Simon & Schuster,Kindle Edition,432,2017,2016,,2021/07/10,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
54911607,The Guest List,Lucy Foley,"Foley, Lucy",,"=""0062868934""","=""9780062868930""",0,3.86,William Morrow,Hardcover,313,2020,2020,,2021/07/10,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
55204500,Like Wind Against Rock,Nancy  Kim,"Kim, Nancy",,"=""""","=""""",0,3.95,Lake Union Publishing,Kindle Edition,217,2021,2021,,2021/05/13,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.38,Alfred A. Knopf,Hardcover,552,2006,2007,,2021/05/07,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
40755416,How to Make Friends with the Dark,Kathleen Glasgow,"Glasgow, Kathleen",,"=""1101934751""","=""9781101934753""",0,4.12,Delacorte Press,Hardcover,421,2019,2019,,2021/05/07,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
35457256,Mapping the Bones,Jane Yolen,"Yolen, Jane",,"=""0399257780""","=""9780399257780""",0,4.02,Philomel Books,Hardcover,421,2018,2018,,2021/05/07,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,4.24,"Little, Brown and Company",ebook,449,2013,1938,,2021/05/06,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
33516773,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399587195""","=""9780399587191""",0,4.29,Berkley Books,Paperback,460,2017,2014,,2021/05/03,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
53522062,The Hate You Give,Angie Thomas,"Thomas, Angie",,"=""""","=""""",0,4.50,,Hardcover,444,,2017,,2021/05/03,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",4,4.15,Knopf,Hardcover,480,2008,2005,2021/05/03,2021/04/24,,,read,,,,1,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.28,Modern Library,Paperback,279,2000,1813,,2021/05/01,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
